SalleDeBain,surface,chambres,salons,Secteur,price
3,265,4,2,Quartier des Hôpitaux,2690000
1,130,3,3,Maarif,1300000
1,60,2,1,Sidi Maarouf,580000
2,93,3,1,Sidi Bernoussi,830000
1,70,2,1,Lissasfa,560000
1,60,2,1,Sbata,400000
2,78,2,1,Sidi Maarouf,760000
2,126,3,2,Maarif,2200000
2,81,2,1,Sidi Bernoussi,840000
1,56,2,1,Oulfa,400000
2,98,3,1,Florida,1372000
2,164,3,2,Oasis,1700000
2,72,2,1,Oulfa,680000
2,76,2,1,Sidi Othmane,580000
1,48,1,1,Sidi Maarouf,2500000
1,57,2,1,Sidi Moumen,520000
3,150,3,2,Racine,2900000
2,43,1,1,Les Princesses,990000
1,64,1,2,Mers Sultan,650000
1,45,1,1,Centre Ville,520000
2,217,4,3,Aïn Borja,1500000
1,109,2,1,Aïn Diab,1100000
2,79,2,1,Roches Noires,770000
2,88,2,1,Ben Ejdia,1100000
1,69,2,2,Beauséjour,900000
1,68,2,2,Oulfa,580000
1,83,2,2,Bourgogne,1000000
1,108,2,2,Sidi Bernoussi,600000
1,48,2,1,Oulfa,400000
2,114,3,1,2 Mars,750000
2,92,2,2,Sidi Moumen,500000
1,65,2,1,Sidi Othmane,400000
2,106,4,1,Sidi Maarouf,1150000
2,164,3,2,2 Mars,1690000
2,88,2,1,Errahma,690000
1,90,3,1,Hay Mohammadi,560000
2,115,2,1,Racine,1900000
2,81,2,1,Sidi Maarouf,798000
2,97,2,2,Nassim,1160000
1,93,2,1,La Gironde,880000
1,80,3,1,Hay Albaraka,500000
1,55,2,1,Bourgogne,800000
1,56,2,1,Sidi Bernoussi,450000
1,88,2,1,Maarif,850000
3,111,3,1,Laimoune,1720000
1,101,2,2,Aïn Borja,990000
2,126,3,2,Maarif,2200000
3,145,2,2,Belvédère,1300000
2,94,2,2,La Gironde,1000000
2,95,3,1,Sidi Maarouf,990000
1,73,2,1,Sidi Moumen,480000
2,208,5,2,Bourgogne,1600000
3,196,4,2,Maarif,1700000
1,72,2,1,Ben M'sick,650000
1,68,2,1,Oulfa,625000
1,126,3,1,Oulfa,930000
1,106,2,2,Belvédère,895000
1,83,2,1,La Gironde,780000
2,75,2,1,Aïn Chock,1020000
2,130,3,1,Sidi Maarouf,1300000
2,100,2,2,Maarif,1350000
1,110,2,1,Maarif,1550000
1,100,3,1,Sidi Moumen,860000
2,104,3,1,Ain Sebaa,1000000
2,172,3,3,Beauséjour,1800000
2,116,3,1,Les Princesses,1750000
3,143,3,1,Aïn Chock,1450000
2,112,3,2,Californie,1800000
1,77,2,1,Bourgogne,1100000
2,76,3,1,Aïn Chock,1064000
1,80,3,1,Sidi Moumen,720000
2,172,3,1,Oulfa,860000
1,73,3,1,Aïn Chock,900000
1,64,2,1,Oulfa,500000
2,118,3,1,Sidi Belyout,1500000
3,100,4,3,Oulfa,2600000
2,166,3,2,Belvédère,1600000
1,69,2,1,Nassim,450000
1,75,2,1,Sidi Moumen,520000
2,112,2,1,La Gironde,1100000
3,221,4,2,Sidi Moumen,1200000
1,129,3,1,Gauthier,1700000
2,80,2,2,Sidi Othmane,420000
2,154,3,3,Racine,2150000
1,67,2,1,Oulfa,580000
2,144,3,2,Maarif,2300000
1,60,2,1,Sidi Bernoussi,420000
1,109,2,1,Beauséjour,1450000
2,160,4,1,Ain Sebaa,1050000
1,80,2,2,Oulfa,720000
2,78,2,1,Ain Sebaa,850000
2,145,3,2,El Manar El Hank,2700000
1,68,2,1,Lissasfa,490000
1,70,2,1,Sidi Moumen,430000
1,99,4,1,Oulfa,980000
2,122,2,1,Sidi Maarouf,1210000
2,108,3,1,Californie,1040000
1,72,1,1,Casablanca Finance City,1750000
2,96,2,1,Californie,1440000
2,68,2,1,Sidi Moumen,520000
1,56,2,1,Hay Sadri,440000
1,93,3,1,Hay Sadri,760000
2,93,2,2,Bachkou,1380000
2,84,2,1,Almaz,1040000
2,102,2,1,Aïn Diab,1120000
1,66,2,1,Ain Sebaa,580000
2,82,2,1,Sidi Moumen,540000
1,100,3,1,Sidi Othmane,570000
1,82,3,1,Aïn Borja,780000
2,90,3,2,Hay Hassani,980000
2,89,2,1,Bourgogne,1300000
2,107,3,1,Aïn Borja,1700000
2,111,3,1,Sidi Bernoussi,900000
1,69,3,1,Errahma,450000
1,89,2,2,Bourgogne,1150000
1,62,2,1,Oulfa,600000
2,151,3,1,Bourgogne,2100000
2,130,2,2,Racine,2300000
1,64,2,1,Sidi Moumen,420000
2,110,2,2,Sidi Bernoussi,620000
2,81,2,1,Sidi Bernoussi,840000
1,101,2,2,Aïn Borja,990000
2,80,2,2,Sidi Othmane,420000
1,64,2,1,Sidi Moumen,420000
2,110,2,2,Sidi Bernoussi,620000
2,155,3,2,Bourgogne,1700000
2,95,2,1,Californie,1100000
2,96,2,1,Quartier des Hôpitaux,1300000
2,132,3,2,Oulfa,1170000
6,97,8,4,Sidi Bernoussi,1790000
2,83,3,2,Ain Sebaa,950000
1,66,2,1,Oulfa,440000
2,84,3,1,Sbata,800000
1,58,2,1,Sidi Maarouf,580000
2,115,3,1,Sidi Bernoussi,770000
1,65,3,1,Oulfa,450000
3,72,6,4,Aïn Chock,2200000
1,112,2,1,Hay Mohammadi,600000
1,80,3,1,Aïn Chock,990000
2,156,3,2,2 Mars,2350000
1,60,2,1,Roches Noires,520000
2,71,2,1,Aïn Borja,670000
1,58,2,1,Ben M'sick,650000
1,70,2,1,Autre secteur,550000
1,63,2,1,Sidi Maarouf,540000
2,149,3,1,2 Mars,1860000
